"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address3","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predict","profitMargin","buy"
"1",5977,NA,NA,"F","N","L",NA,NA,NA,NA,"SW7","C",69,3,2.1,1,177,81,"Very Poor","owner-occupied",51.496389,-0.174807,24,15,1,"south kensington","Thames Water",50600,"Kensington and Chelsea","tube",3,0,0,0.1572142,192000,1228630.50448133,5.39911721084024,1
"2",9101,NA,NA,"F","N","L",NA,NA,NA,NA,"RM14","E",84,4,5.3,1.8,373,119,"Very Poor","owner-occupied",51.561893,0.243151,39,16,6,"upminster","Essex & Suffolk Water",54600,"Havering","tube",1,0,1,0.5070624,83000,344751.72630346,3.1536352566682,1
"3",7296,NA,NA,"F","N","L",NA,NA,NA,NA,"E1W","B",63,3,1.2,1.2,108,108,"Good","owner-occupied",51.511732,-0.046553,91,14,2,"limehouse","Thames Water",62600,"Tower Hamlets","light_rail",0,0,1,0.5176262,112000,411484.75314194,2.6739710101959,1
"4",15713,NA,NA,"F","N","L",NA,NA,NA,NA,"HA0","D",65,3,3.1,1.8,271,160,"Average","rental (private)",51.551003,-0.303088,96,41,4,"wembley central","Affinity Water",47800,"Brent","tube",2,1,1,0.3343132,84000,294001.738413571,2.50002069539965,1
"5",3128,NA,NA,"F","N","L",NA,NA,NA,NA,"CR4","C",75,3,2,1.9,157,145,"Good","owner-occupied",51.408376,-0.164901,129,22,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.5729308,117000,349393.444838025,1.98626875929936,1
"6",11008,NA,NA,"F","N","L",NA,NA,NA,NA,"E10","C",69,3,1.3,1.3,101,101,"Good","owner-occupied",51.569596,-0.035951,50,7,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.3628976,130000,375358.552286872,1.88737347912978,1
"7",5770,NA,NA,"F","N","L",NA,NA,NA,NA,"E2","B",101,4,1.7,1.7,91,91,"Good","owner-occupied",51.5335,-0.055584,85,17,2,"cambridge heath","Thames Water",44400,"Hackney","light_rail",0,0,1,0.1037738,218000,629248.837386261,1.88646255681771,1
"8",5843,NA,NA,"S","N","F",NA,NA,NA,NA,"CR2","E",145,4,8.6,6.6,337,256,"Average","rental (private)",51.346956,-0.053984,28,122,3,"gravel hill","SES Water",54400,"Croydon","light_rail",0,0,1,1.0619726,240000,685193.563424563,1.85497318093568,1
"9",8684,NA,NA,"F","N","L",NA,NA,NA,NA,"SW18","B",49,2,0.9,0.9,107,107,"Average","owner-occupied",51.458085,-0.195393,18,9,2,"wandsworth town","Thames Water",58200,"Wandsworth","rail",0,1,0,0.5760378,131000,373650.252576262,1.85229200439895,1
"10",12485,NA,NA,"F","N","L",NA,NA,NA,NA,"CR4","E",69,3,3.2,2.3,276,200,"Good","owner-occupied",51.411283,-0.16215,80,22,3,"mitcham eastfields","Thames Water",47600,"Merton","rail",0,1,0,0.521976,123000,333491.258478414,1.71131104453995,1
"11",10024,NA,NA,"F","N","L",NA,NA,NA,NA,"SE16","C",58,3,1.6,1.3,147,116,"Good","rental (private)",51.49129,-0.046966,58,8,2,"surrey quays","Thames Water",51800,"Southwark","light_rail",0,0,1,0.298272,140000,379477.812993317,1.71055580709512,1
"12",9878,NA,NA,"D","N","F",NA,NA,NA,NA,"TW5","E",156,5,8.4,3.6,306,131,"Average","owner-occupied",51.48513,-0.392908,60,29,5,"hounslow west","Thames Water",43800,"Hounslow","tube",1,0,0,1.2452856,271000,713223.476010845,1.63182094468947,1
"13",10952,NA,NA,"T","N","L",NA,NA,NA,NA,"SW11","E",150,7,7.9,3.5,297,132,"Poor","owner-occupied",51.460972,-0.165845,187,15,2,"clapham junction","Thames Water",73000,"Wandsworth","light_rail",0,1,1,0.4126096,585000,1453174.01610944,1.48405814719563,1
"14",200,NA,NA,"T","N","F",NA,NA,NA,NA,"W10","E",192,6,9.4,2.9,278,84,"Very Poor","rental (private)",51.520688,-0.21284,99,25,2,"ladbroke grove","Thames Water",47300,"Kensington and Chelsea","tube",2,0,0,0.2690662,1230000,3035666.95608014,1.46802191551231,1
"15",11283,NA,NA,"F","N","L",NA,NA,NA,NA,"SW18","E",68,3,5,5,413,413,"Average","owner-occupied",51.444229,-0.189655,67,11,3,"earlsfield","Thames Water",62700,"Wandsworth","rail",0,1,0,0.1727492,188000,457009.018239304,1.43089903318779,1
"16",3193,NA,NA,"F","N","L",NA,NA,NA,NA,"W1G","C",43,2,1.9,1.2,252,165,"Average","rental (private)",51.520895,-0.151356,18,31,1,"baker street","Thames Water",73500,"Westminster","tube",6,0,0,0.5350254,325000,774367.328654303,1.3826687035517,1
"17",10237,NA,NA,"F","N","L",NA,NA,NA,NA,"BR5","C",54,3,3.1,2.3,339,254,"Good","owner-occupied",51.397416,0.117601,83,46,6,"st mary cray","Thames Water",43200,"Bromley","rail",0,1,0,0.6692478,98000,228998.039474143,1.33671468851166,1
"18",8632,NA,NA,"F","N","L",NA,NA,NA,NA,"W2","D",39,1,1.7,1.2,252,169,"Very Poor","rental (social)",51.519176,-0.187589,254,29,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1000454,259000,592960.06376411,1.28942109561432,1
"19",656,NA,NA,"T","N","F",NA,NA,NA,NA,"W6","E",114,6,5.7,2.9,283,143,"Very Poor","rental (private)",51.484156,-0.221455,91,6,2,"barons court","Thames Water",59500,"Hammersmith and Fulham","tube",2,0,0,0.8519394,503000,1150062.33680296,1.28640623618878,1
"20",8567,NA,NA,"F","N","L",NA,NA,NA,NA,"N22","C",47,2,1.2,1.1,150,129,"Average","rental (private)",51.603155,-0.117822,94,40,3,"alexandra palace","Thames Water",51000,"Haringey","rail",0,1,0,0.4020458,137000,305802.650119943,1.23213613226236,1
"21",1003,NA,NA,"F","N","L",NA,NA,NA,NA,"NW3","D",125,3,6.2,5,279,229,"Very Poor","owner-occupied",51.553672,-0.186478,73,76,2,"finchley road and frognal","Thames Water",67300,"Camden","light_rail",0,0,1,0.285844,601000,1325498.18116456,1.20548782223721,1
"22",10305,NA,NA,"S","N","F",NA,NA,NA,NA,"SE6","E",134,6,7.7,3.4,327,142,"Average","owner-occupied",51.446449,-0.01201,104,22,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.6636552,312000,686718.599057618,1.2010211508257,1
"23",4848,NA,NA,"S","N","F",NA,NA,NA,NA,"TW5","D",126,5,4.6,2.4,208,106,"Average","rental (private)",51.486295,-0.388676,98,32,5,"hounslow west","Thames Water",51500,"Hounslow","tube",1,0,0,1.2011662,261000,574381.524034144,1.20069549438369,1
"24",5725,NA,NA,"T","N","F",NA,NA,NA,NA,"UB3","D",173,9,8.3,4.9,248,147,"Average","owner-occupied",51.520674,-0.417919,54,42,5,"hayes and harlington","Affinity Water",44600,"Hillingdon","rail",0,1,0,1.239693,348000,760614.75115482,1.18567457228397,1
"25",11034,NA,NA,"F","N","L",NA,NA,NA,NA,"N17","C",68,4,2.4,2.4,201,201,"Average","rental (social)",51.609117,-0.08225,195,22,3,"white hart lane","Thames Water",37700,"Haringey","light_rail",0,0,1,0.7214454,152000,332116.006429151,1.18497372650758,1
"26",12412,NA,NA,"S","N","F",NA,NA,NA,NA,"CR2","E",103.26,5,6.2,3.9,361,225,"Average","owner-occupied",51.347541,-0.060522,67,155,3,"coombe lane","SES Water",62800,"Croydon","light_rail",0,0,1,1.5988622,228000,495066.506897838,1.17134432849929,1
"27",15439,NA,NA,"D","N","F",NA,NA,NA,NA,"BR6","D",141,6,5.8,3.4,211,123,"Average","owner-occupied",51.374385,0.066249,14,94,6,"orpington","Thames Water",66900,"Bromley","rail",0,1,0,1.2316148,325000,702007.986626695,1.16002457423599,1
"28",8866,NA,NA,"F","N","L",NA,NA,NA,NA,"E3","D",58,2,2.8,1.2,253,110,"Average","owner-occupied",51.536359,-0.032838,23,17,2,"hackney wick","Thames Water",46200,"Tower Hamlets","light_rail",0,0,1,0.9140794,152000,324040.070722032,1.13184257053968,1
"29",15829,NA,NA,"F","N","L",NA,NA,NA,NA,"SM1","D",52,2,2.8,2,305,221,"Poor","owner-occupied",51.364478,-0.201617,58,47,5,"west sutton","SES Water",55200,"Sutton","rail",0,1,0,0.382161,117000,249020.774014709,1.1283826838864,1
"30",13940,NA,NA,"F","N","L",NA,NA,NA,NA,"EN4","C",50,3,1.6,1.5,187,170,"Very Poor","rental (private)",51.656496,-0.160242,42,84,5,"cockfosters","Affinity Water",54900,"Barnet","tube",1,0,0,0.7730216,152000,312645.861851422,1.05688067007514,1
"31",11374,NA,NA,"S","N","F",NA,NA,NA,NA,"UB2","D",146,5,6.1,2.9,236,110,"Average","owner-occupied",51.503133,-0.383184,28,33,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,0.4281446,309000,624731.795666113,1.02178574649227,1
"32",10123,NA,NA,"F","N","L",NA,NA,NA,NA,"SE26","E",49,2,4.3,2.6,519,309,"Average","owner-occupied",51.424712,-0.041808,37,33,4,"lower sydenham","Thames Water",52600,"Lewisham","rail",0,1,0,0.758108,1e+05,200899.035310301,1.00899035310301,1
"33",6147,NA,NA,"F","N","L",NA,NA,NA,NA,"SW1P","C",148,5,3.6,2,140,79,"Good","owner-occupied",51.494179,-0.128725,59,14,1,"pimlico","Thames Water",53000,"Westminster","tube",1,0,0,0.3939676,1e+06,1951474.7654419,0.951474765441904,1
"34",15697,NA,NA,"S","N","F",NA,NA,NA,NA,"EN3","E",82,5,6.2,1.3,392,79,"Poor","rental (private)",51.661039,-0.039213,82,18,5,"brimsdown","Thames Water",44300,"Enfield","rail",0,1,0,0.608972,246000,470565.559249544,0.912868127030666,1
"35",15078,NA,NA,"S","N","F",NA,NA,NA,NA,"NW2","E",202,7,11,5.2,311,144,"Very Poor","owner-occupied",51.545646,-0.225437,99,64,2,"willesden green","Thames Water",54700,"Camden","tube",1,0,0,0.7096388,935000,1785612.42158781,0.909745905441509,1
"36",7802,NA,NA,"T","N","F",NA,NA,NA,NA,"SE6","D",78,4,4.5,2.8,348,216,"Average","owner-occupied",51.445391,-0.011653,60,21,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.7369804,231000,440614.325905489,0.907421324266185,1
"37",4085,NA,NA,"F","N","L",NA,NA,NA,NA,"N21","C",36,2,1.6,0.9,251,143,"Very Poor","owner-occupied",51.645786,-0.116577,23,66,5,"oakwood","Thames Water",61700,"Enfield","tube",1,0,0,1.031524,128000,242897.342079892,0.897635484999156,1
"38",8570,NA,NA,"F","N","L",NA,NA,NA,NA,"SW1V","D",67.1,3,2.6,2,204,152,"Average","owner-occupied",51.490878,-0.137748,114,13,1,"pimlico","Thames Water",61900,"Westminster","tube",1,0,0,0.2460744,431000,807321.898999172,0.873136656610608,1
"39",1688,NA,NA,"T","N","F",NA,NA,NA,NA,"HA4","D",102,6,4,1.7,220,90,"Average","owner-occupied",51.553844,-0.405085,101,34,5,"south ruislip","Affinity Water",56600,"Hillingdon","tube",1,1,0,0.4244162,280000,517503.319853285,0.84822614233316,1
"40",10578,NA,NA,"S","N","F",NA,NA,NA,NA,"W5","F",203,9,13,4.9,375,136,"Average","owner-occupied",51.514333,-0.312551,69,34,3,"west ealing","Thames Water",64800,"Ealing","rail",0,1,0,0.3889964,773000,1423311.93779625,0.841283231301743,1
"41",11078,NA,NA,"F","N","L",NA,NA,NA,NA,"SW1X","D",156,4,6,2.9,220,107,"Very Poor","owner-occupied",51.499532,-0.161171,27,19,1,"knightsbridge","Thames Water",72600,"Kensington and Chelsea","tube",1,0,0,0.3299634,1740000,3201210.32945137,0.839776051408831,1
"42",6453,NA,NA,"S","N","F",NA,NA,NA,NA,"N9","D",79,4,4.2,1.9,274,122,"Average","owner-occupied",51.624419,-0.051342,116,14,4,"edmonton green","Thames Water",38100,"Enfield","light_rail",0,1,1,0.6344494,217000,396686.386190611,0.828047862629544,1
"43",7253,NA,NA,"F","N","L",NA,NA,NA,NA,"NW8","D",51,3,2.5,1.1,255,115,"Poor","owner-occupied",51.539019,-0.189699,32,36,2,"kilburn high road","Thames Water",45700,"Westminster","light_rail",0,0,1,0.0801606,341000,621929.640295689,0.823840587377386,1
"44",1027,NA,NA,"T","N","F",NA,NA,NA,NA,"N17","E",100.07,5,6.2,5.1,373,302,"Very Poor","rental (private)",51.595551,-0.073036,136,20,3,"bruce grove","Thames Water",42600,"Haringey","light_rail",0,0,1,0.2156258,343000,624154.833366706,0.819693391739668,1
"45",2129,NA,NA,"T","N","F",NA,NA,NA,NA,"SE6","D",139,6,6.2,3.8,252,152,"Average","owner-occupied",51.434284,-0.023818,60,22,3,"bellingham","Thames Water",45100,"Lewisham","rail",0,1,0,0.2106546,373000,676988.01473946,0.814981272759946,1
"46",4554,NA,NA,"F","N","L",NA,NA,NA,NA,"SW11","D",96,4,2.9,3,181,185,"Average","owner-occupied",51.474491,-0.152944,181,8,2,"queenstown road","Thames Water",54100,"Wandsworth","rail",0,1,0,0.3280992,399000,724114.858648877,0.814824207140042,1
"47",14673,NA,NA,"F","N","L",NA,NA,NA,NA,"N11","D",145,5,6.5,3.9,236,139,"Average","owner-occupied",51.618022,-0.149116,53,60,4,"new southgate","Affinity Water",54300,"Barnet","rail",0,1,0,0.397696,382000,693250.259634652,0.814791255588094,1
"48",9661,NA,NA,"F","N","L",NA,NA,NA,NA,"NW1","C",54,2,1.6,1,172,104,"Very Poor","owner-occupied",51.543129,-0.155661,47,39,2,"chalk farm","Thames Water",54500,"Camden","tube",1,0,0,0.2373748,302000,547884.99624478,0.814188729287353,1
"49",8729,NA,NA,"T","N","F",NA,NA,NA,NA,"SW14","C",208,8,4.5,2.7,122,72,"Poor","owner-occupied",51.466863,-0.261604,109,10,3,"mortlake","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.363519,1005000,1822329.01489925,0.813262701392285,1
"50",244,NA,NA,"S","N","F",NA,NA,NA,NA,"HA3","D",119,4,5.4,3.4,260,159,"Average","owner-occupied",51.597905,-0.322487,58,54,5,"harrow and wealdstone","Affinity Water",50600,"Brent","tube",2,1,1,0.8277048,322000,581511.128415086,0.805935181413312,1
"51",5521,NA,NA,"T","N","F",NA,NA,NA,NA,"NW8","C",84,4,2.8,0.7,191,44,"Good","owner-occupied",51.524597,-0.16943,38,38,1,"edgware road (bakerloo)","Thames Water",39800,"Westminster","tube",2,0,0,0.2933008,669000,1201770.72621938,0.796368798534203,1
"52",13283,NA,NA,"T","N","F",NA,NA,NA,NA,"E12","D",100,5,4.4,2,247,112,"Average","owner-occupied",51.552731,0.059031,272,10,3,"manor park","Thames Water",40800,"Redbridge","rail",0,1,0,0.8879806,259000,464709.371964333,0.794244679398967,1
"53",11681,NA,NA,"F","N","L",NA,NA,NA,NA,"NW8","C",65,3,1.6,1.3,143,110,"Average","owner-occupied",51.528326,-0.175736,42,43,2,"warwick avenue","Thames Water",53500,"Westminster","tube",2,0,0,0.5194904,389000,678335.063906845,0.743791938063868,1
"54",10704,NA,NA,"F","N","F",NA,NA,NA,NA,"N9","D",92,5,4.2,1.1,261,68,"Average","owner-occupied",51.631586,-0.079309,51,25,4,"edmonton green","Thames Water",56700,"Enfield","light_rail",0,1,1,0.857532,264000,459647.325483772,0.741088354105197,1
"55",12206,NA,NA,"T","N","F",NA,NA,NA,NA,"SW2","D",193.65,8,9.5,9,292,276,"Very Poor","owner-occupied",51.457304,-0.121064,65,27,2,"brixton","Thames Water",61900,"Lambeth","tube",1,1,0,0.6064864,897000,1560613.96032074,0.739814894448984,1
"56",11529,NA,NA,"T","N","F",NA,NA,NA,NA,"SE2","D",90.85,5,3.9,2.5,223,141,"Good","owner-occupied",51.494333,0.115564,52,2,4,"abbey wood","Thames Water",41900,"Greenwich","rail",0,1,0,0.7469228,204000,353465.370479868,0.732673384705237,1
"57",7795,NA,NA,"F","N","L",NA,NA,NA,NA,"NW6","D",86,5,3.9,1.7,253,115,"Good","owner-occupied",51.544919,-0.202632,104,48,2,"brondesbury","Thames Water",51900,"Brent","light_rail",0,0,1,0.2150044,377000,652854.070677025,0.731708410283887,1
"58",8846,NA,NA,"D","N","F",NA,NA,NA,NA,"NW4","D",247,8,8.8,5.6,203,128,"Average","owner-occupied",51.585573,-0.213532,31,52,3,"brent cross","Thames Water",54400,"Barnet","tube",1,0,0,0.9091082,1093000,1888950.54943669,0.728225571305297,1
"59",15945,NA,NA,"T","N","L",NA,NA,NA,NA,"W14","D",225,5,7.7,4,193,100,"Good","owner-occupied",51.504138,-0.209049,104,12,2,"holland park","Thames Water",60100,"Kensington and Chelsea","tube",1,0,0,0.4840706,1949000,3366521.86454862,0.727307267598062,1
"60",15804,NA,NA,"T","N","F",NA,NA,NA,NA,"IG3","E",99,4,6,1.3,317,65,"Average","owner-occupied",51.55179,0.0929,68,8,4,"seven kings","Essex & Suffolk Water",50400,"Redbridge","rail",0,1,0,1.1645036,231000,398790.517744978,0.726365877683887,1
"61",13133,NA,NA,"F","N","L",NA,NA,NA,NA,"SW17","G",97,5,15,2.2,867,127,"Average","rental (private)",51.435417,-0.165412,62,29,3,"tooting bec","Thames Water",60700,"Wandsworth","tube",1,0,0,0.3436342,390000,669392.779674028,0.716391742753918,1
"62",13103,NA,NA,"S","N","F",NA,NA,NA,NA,"IG6","D",214,8,9.1,4.8,242,127,"Good","owner-occupied",51.58205,0.079264,140,26,4,"barkingside","Essex & Suffolk Water",55100,"Redbridge","tube",1,0,0,0.8997872,628000,1073541.87376392,0.709461582426631,1
"63",4827,NA,NA,"S","N","F",NA,NA,NA,NA,"KT9","D",83,4,3,1.2,206,80,"Very Poor","rental (private)",51.358712,-0.297213,129,46,6,"chessington south","Thames Water",59700,"Kingston upon Thames","rail",0,1,0,0.581009,293000,494079.667677538,0.686278729274875,1
"64",3406,NA,NA,"D","N","F",NA,NA,NA,NA,"CR2","E",220,9,16,5.5,336,112,"Very Poor","owner-occupied",51.359297,-0.08417,19,82,3,"lloyd park","Thames Water",61500,"Croydon","light_rail",0,0,1,0.5505604,764000,1284837.69354852,0.681724729775556,1
"65",7092,NA,NA,"S","N","F",NA,NA,NA,NA,"TW9","C",114,7,2.8,1.5,140,74,"Good","owner-occupied",51.467854,-0.281247,76,7,3,"north sheen","Thames Water",61900,"Richmond upon Thames","rail",0,1,0,0.2435888,565000,946649.227342041,0.675485358127507,1
"66",4294,NA,NA,"T","N","F",NA,NA,NA,NA,"TW8","D",141,5,6.6,2,265,78,"Average","owner-occupied",51.497782,-0.298562,141,19,3,"south ealing","Thames Water",50200,"Hounslow","tube",1,0,0,0.7040462,626000,1043955.87519757,0.667661142488126,1
